 INFO  Accepting connections at http://localhost:3000
 HTTP  9/1/2026 6:18:01 AM ::1 Returned 200 in 6 ms
 HTTP  9/1/2026 6:18:01 AM ::1 GET /_next/static/media/git.3337db5a.png
 HTTP  9/1/2026 6:18:01 AM ::1 GET /_next/static/media/github.f3eae284.png
 HTTP  9/1/2026 6:18:01 AM ::1 GET /_next/static/media/github-actions.9b313e9b.png
 HTTP  9/1/2026 6:18:01 AM ::1 Returned 200 in 2 ms
 HTTP  9/1/2026 6:18:01 AM ::1 Returned 200 in 3 ms
 HTTP  9/1/2026 6:18:01 AM ::1 Returned 200 in 3 ms
 HTTP  9/1/2026 6:18:01 AM ::1 GET /_next/static/media/monorepo.b59af347.png
 HTTP  9/1/2026 6:18:01 AM ::1 GET /_next/static/media/docker.888df998.png
 HTTP  9/1/2026 6:18:01 AM ::1 GET /_next/static/media/linux.6dd6ca83.svg
 HTTP  9/1/2026 6:18:01 AM ::1 GET /_next/static/media/jenkins.e4e98d9c.png
 HTTP  9/1/2026 6:18:01 AM ::1 Returned 200 in 3 ms
 HTTP  9/1/2026 6:18:01 AM ::1 Returned 200 in 3 ms
 HTTP  9/1/2026 6:18:01 AM ::1 Returned 200 in 5 ms
 HTTP  9/1/2026 6:18:01 AM ::1 Returned 200 in 5 ms
 HTTP  9/1/2026 6:18:01 AM ::1 GET /_next/static/chunks/568.94f124756b081f1a.js
 HTTP  9/1/2026 6:18:01 AM ::1 Returned 200 in 2 ms
 HTTP  9/1/2026 6:18:01 AM ::1 GET /_next/static/chunks/570.34bb3cae476a2954.js
 HTTP  9/1/2026 6:18:01 AM ::1 Returned 200 in 4 ms
 HTTP  9/1/2026 6:18:01 AM ::1 GET /index.txt?_rsc=acgkz
 HTTP  9/1/2026 6:18:01 AM ::1 Returned 200 in 8 ms
